date_utc,generated_at_utc,window_start_utc,window_end_utc,total_articles_classified,relevant_articles,negotiation_count,ceasefire_count,deescalation_count,escalation_count,proxy_escalation_count,strike_count,irrelevant_count,negotiation_ratio,war_ratio,avg_strength,median_strength,avg_positive_strength,avg_negative_strength,avg_source_weight,negotiation_events,ceasefire_events,deescalation_events,escalation_events,proxy_events,strike_events,article_raw_score,event_raw_score,batch_raw_score,war_batch_score,war_smoothed_score,trend_delta,trend_label,trend_label_ko,oil_signal,defense_signal,airline_signal,equity_signal,gold_dollar_signal,alert_message,summary_ko
2026-03-11,2026-03-11T07:58:07+00:00,2026-03-11T05:01:39.511427+00:00,2026-03-11T07:57:48.551542+00:00,2,2,0,0,0,1,0,1,0,0.0,1.0,0.8,0.8,0.0,0.8,1.0,0,0,0,1,0,1,5.9,5.9,5.9,74.58,84.75,-3.49,flat,보합,급등 리스크,매우 강세,악재,강한 리스크오프,강한 선호,특이 경보 없음,직접 공격·보복 보도가 강하게 반영돼 고위험 구간이다. 단기 확전 리스크를 강하게 경계해야 한다.
2026-03-11,2026-03-11T11:08:00+00:00,2026-03-11T07:57:48.551542+00:00,2026-03-11T11:06:59.694168+00:00,9,9,0,0,0,5,0,4,0,0.0,1.0,0.83,0.9,0.0,0.83,1.0,0,0,0,5,0,4,25.95,25.95,25.95,100.0,92.37,-2.87,flat,보합,급등 리스크,매우 강세,악재,강한 리스크오프,강한 선호,직접 공격/보복 보도 증가,직접 공격·보복 보도가 강하게 반영돼 고위험 구간이다. 단기 확전 리스크를 강하게 경계해야 한다.
2026-03-11,2026-03-11T14:37:51+00:00,2026-03-11T11:06:59.694168+00:00,2026-03-11T14:36:54.174268+00:00,8,7,0,0,0,2,1,4,1,0.0,1.0,0.7071,0.7,0.0,0.7071,1.0,0,0,0,2,1,4,18.95,18.95,18.95,100.0,97.46,-2.87,flat,보합,급등 리스크,매우 강세,악재,강한 리스크오프,강한 선호,직접 공격/보복 보도 증가,직접 공격·보복 보도가 강하게 반영돼 고위험 구간이다. 단기 확전 리스크를 강하게 경계해야 한다.
2026-03-11,2026-03-11T14:38:17+00:00,2026-03-11T14:36:54.174268+00:00,2026-03-11T14:38:08.872106+00:00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,50.0,70.0,-15.37,strong_down,가파른 하락,강세,강세,부담,리스크오프,선호,특이 경보 없음,이번 실행 구간에는 새로 올라온 관련 기사가 거의 없었다.
2026-03-11,2026-03-11T17:40:07+00:00,2026-03-11T14:38:08.872106+00:00,2026-03-11T17:38:48.010512+00:00,13,11,1,0,0,5,0,5,2,0.0909,0.9091,0.8227,0.9,0.75,0.83,1.0091,1,0,0,5,0,4,29.06,24.56,27.26,100.0,85.0,-2.66,flat,보합,급등 리스크,매우 강세,악재,강한 리스크오프,강한 선호,직접 공격/보복 보도 증가,직접 공격·보복 보도가 강하게 반영돼 고위험 구간이다. 단기 확전 리스크를 강하게 경계해야 한다.
2026-03-11,2026-03-11T19:54:43+00:00,2026-03-11T17:38:48.010512+00:00,2026-03-11T19:53:30.851251+00:00,13,13,1,0,2,1,1,8,0,0.2308,0.7692,0.7538,0.85,0.5167,0.825,1.0192,1,0,2,1,1,8,34.98,34.98,34.98,100.0,95.0,-6.14,down,하락,급등 리스크,매우 강세,악재,강한 리스크오프,강한 선호,직접 공격/보복 보도 증가,직접 공격·보복 보도가 강하게 반영돼 고위험 구간이다. 단기 확전 리스크를 강하게 경계해야 한다.
2026-03-11,2026-03-11T21:59:32+00:00,2026-03-11T19:53:30.851251+00:00,2026-03-11T21:58:31.920294+00:00,6,6,0,0,0,2,1,3,0,0.0,1.0,0.7367,0.71,0.0,0.7367,1.0,0,0,0,2,1,3,16.86,16.86,16.86,100.0,100.0,-6.14,down,하락,급등 리스크,매우 강세,악재,강한 리스크오프,강한 선호,직접 공격/보복 보도 증가,직접 공격·보복 보도가 강하게 반영돼 고위험 구간이다. 단기 확전 리스크를 강하게 경계해야 한다.
2026-03-12,2026-03-12T05:08:09+00:00,2026-03-11T21:58:31.920294+00:00,2026-03-12T05:07:09.375427+00:00,9,8,0,0,1,0,0,7,1,0.125,0.875,0.7688,0.8,0.75,0.7714,1.0,0,0,1,0,0,7,26.25,26.25,26.25,100.0,100.0,18.86,strong_up,가파른 상승,급등 리스크,매우 강세,악재,강한 리스크오프,강한 선호,전쟁 위험 급상승,직접 공격·보복 보도가 강하게 반영돼 고위험 구간이다. 단기 확전 리스크를 강하게 경계해야 한다.
2026-03-12,2026-03-12T07:59:31+00:00,2026-03-12T05:07:09.375427+00:00,2026-03-12T07:59:06.998677+00:00,3,3,1,0,0,1,1,0,0,0.3333,0.6667,0.7833,0.8,0.8,0.775,1.0,1,0,0,1,1,0,2.2,2.2,2.2,59.17,75.5,2.29,flat,보합,급등 리스크,매우 강세,악재,강한 리스크오프,강한 선호,특이 경보 없음,대리세력 관련 충돌까지 겹치며 긴장이 매우 높다. 위험자산보다 방어적 해석이 유리하다.
2026-03-12,2026-03-12T08:00:04+00:00,2026-03-12T07:59:06.998677+00:00,2026-03-12T07:59:56.763302+00:00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,50.0,57.75,-10.21,strong_down,가파른 하락,강세,강세,부담,리스크오프,선호,특이 경보 없음,이번 실행 구간에는 새로 올라온 관련 기사가 거의 없었다.
2026-03-12,2026-03-12T11:07:05+00:00,2026-03-12T07:59:56.763302+00:00,2026-03-12T11:06:29.272140+00:00,5,5,1,0,0,2,0,2,0,0.2,0.8,0.79,0.8,0.75,0.8,1.0,1,0,0,2,0,2,10.3,10.3,10.3,92.92,76.67,-11.98,strong_down,가파른 하락,급등 리스크,매우 강세,악재,강한 리스크오프,강한 선호,직접 공격/보복 보도 증가,직접 공격·보복 보도가 강하게 반영돼 고위험 구간이다. 단기 확전 리스크를 강하게 경계해야 한다.
2026-03-12,2026-03-12T14:38:20+00:00,2026-03-12T11:06:29.272140+00:00,2026-03-12T14:37:22.036398+00:00,9,8,0,0,0,2,2,4,1,0.0,1.0,0.7688,0.8,0.0,0.7688,1.0,0,0,0,2,2,4,24.05,24.05,24.05,100.0,92.88,-24.48,strong_down,가파른 하락,급등 리스크,매우 강세,악재,강한 리스크오프,강한 선호,직접 공격/보복 보도 증가,직접 공격·보복 보도가 강하게 반영돼 고위험 구간이다. 단기 확전 리스크를 강하게 경계해야 한다.
